method,movement,Yaw_r2,Pitch_r2,Yaw_rmse,Pitch_rmse,mean_abs_latency_ms,avg_r2,avg_rmse,Yaw_r2_iqr,Pitch_r2_iqr,Yaw_rmse_iqr,Pitch_rmse_iqr,mean_abs_latency_ms_iqr,avg_r2_iqr,avg_rmse_iqr
tfFroz,1,0.0367,0.0000,20.1471,5.0845,7768.47,0.0184,12.6158,0.5158,0.0000,8.9884,1.7080,14461.5000,0.2579,4.3018
tfFroz,2,0.4921,0.0000,28.6928,9.3174,4143.07,0.2460,19.0051,0.5047,0.0000,17.1218,7.6159,5268.2500,0.2523,10.9605
tfFroz,3,0.7041,0.0000,27.2144,16.4877,1364.14,0.3521,21.8511,0.1781,0.0000,8.5921,9.9233,1891.0700,0.0890,5.1025
tfFroz,4,-0.6436,0.0000,16.2198,6.5747,10389.20,-0.3218,11.3973,1.0902,0.0000,6.3061,6.2710,8097.7500,0.5451,6.2829
tfFroz,5,0.0000,0.2583,12.0296,17.5285,4737.04,0.1291,14.7790,0.0000,0.5350,10.8861,6.8158,3982.5000,0.2675,2.8382
tfFroz,6,0.0000,0.6836,19.6971,23.0103,996.46,0.3418,21.3537,0.0000,0.1574,10.5659,5.7503,718.5000,0.0787,4.6867
tfFroz,7,0.2589,0.0763,17.8699,19.7758,6916.16,0.1676,18.8228,0.2997,0.5399,4.0577,5.6294,5996.2500,0.4296,4.7240
tfFroz,8,0.5357,0.4209,28.0739,31.1613,684.26,0.4783,29.6176,0.1521,0.3414,3.7584,11.2868,475.0700,0.2686,6.8052
tfFroz,9,0.0000,0.0000,6.5538,5.0304,NaN,0.0000,5.7921,0.0000,0.0000,2.3099,4.7879,NaN,0.0000,3.9502
tfNotFroz,1,0.4828,0.0000,13.4393,2.5378,4827.27,0.2414,7.9886,0.5508,0.0000,10.5053,2.0997,6048.0000,0.2754,7.8103
tfNotFroz,2,0.8342,0.0000,16.5792,7.3197,699.25,0.4171,11.9494,0.1146,0.0000,6.7883,10.8132,655.8750,0.0573,8.7922
tfNotFroz,3,0.8857,0.0000,16.7438,10.9053,229.26,0.4429,13.8246,0.0653,0.0000,6.2838,12.5016,201.0000,0.0327,6.7996
tfNotFroz,4,0.7495,0.0000,6.5212,1.4434,207.94,0.3748,3.9823,0.1668,0.0000,2.0145,1.5419,179.5700,0.0834,0.7579
tfNotFroz,5,0.0000,0.7744,4.8945,9.6782,3322.40,0.3872,7.2864,0.0000,0.1129,5.8467,3.1465,2007.0000,0.0564,3.3087
tfNotFroz,6,0.0000,0.8822,9.5348,13.9861,743.29,0.4411,11.7604,0.0000,0.0399,9.5178,2.3685,567.8550,0.0199,5.8676
tfNotFroz,7,0.7377,0.6986,10.4744,11.1315,828.77,0.7181,10.8029,0.0907,0.2425,3.3630,5.8883,1209.7500,0.1423,4.3024
tfNotFroz,8,0.8671,0.7775,15.0758,18.4935,287.74,0.8223,16.7846,0.0592,0.2107,4.4885,10.6741,359.2500,0.1406,7.9100
tfNotFroz,9,0.0000,0.0000,1.7086,0.6923,NaN,0.0000,1.2004,0.0000,0.0000,2.1461,0.5868,NaN,0.0000,1.2273
