method,data_type,participant_id,Yaw_r2,Pitch_r2,Yaw_rmse,Pitch_rmse,mean_abs_latency_ms,avg_r2,avg_rmse,Yaw_r2_iqr,Pitch_r2_iqr,Yaw_rmse_iqr,Pitch_rmse_iqr,mean_abs_latency_ms_iqr,avg_r2_iqr,avg_rmse_iqr
tfFroz,c,1,0.1975,0.2595,20.5128,12.8126,9126.75,0.2285,16.6627,0.5769,0.5688,4.3818,11.8664,6290.6250,0.3621,9.2889
tfFroz,c,2,0.0818,0.0155,23.5389,18.8402,4436.06,0.0487,21.1895,0.1816,0.0000,15.9232,25.0852,5063.2500,0.4859,13.5368
tfFroz,c,3,0.2013,0.0487,19.0013,18.4144,10064.81,0.1250,18.7079,0.4396,0.0000,9.9633,19.7173,16983.7500,0.3839,10.4667
tfFroz,c,4,0.4129,0.2249,15.9311,15.1327,2231.62,0.3189,15.5319,0.6347,0.5802,11.9439,9.4490,1452.7500,0.0941,10.0648
tfFroz,c,6,-0.0191,0.1559,23.2423,14.2399,3744.64,0.0684,18.7411,0.2314,0.3598,18.1244,14.2173,4072.1250,0.2615,5.2247
tfFroz,c,7,0.2899,0.3118,18.7788,11.1792,1432.07,0.3009,14.9790,0.6553,0.6481,9.3074,8.7805,2251.5000,0.3614,7.3170
tfFroz,c,9,-0.1857,0.0950,19.2139,16.6449,1815.75,-0.0453,17.9294,0.4584,0.0000,16.3528,10.5209,2908.8750,0.3348,6.2699
tfFroz,s,8,0.4420,0.3145,15.0538,13.0346,1079.25,0.3782,14.0442,0.5001,0.6094,9.9256,13.0440,1169.7300,0.0713,7.6660
tfNotFroz,c,1,0.5561,0.3663,11.3772,7.5263,2463.56,0.4612,9.4518,0.8554,0.8170,7.8673,8.4187,1374.3750,0.0221,8.7051
tfNotFroz,c,2,0.3252,0.2388,17.9614,14.4097,1770.75,0.2820,16.1855,0.7824,0.4298,15.7412,19.2204,1995.0000,0.1187,12.2028
tfNotFroz,c,3,0.4823,0.3045,12.3890,13.1800,1258.12,0.3934,12.7845,0.7891,0.5228,13.1157,11.9053,535.5000,0.0761,12.6280
tfNotFroz,c,4,0.5691,0.3613,9.9056,8.5873,3055.88,0.4652,9.2464,0.8695,0.8408,10.3064,9.7054,1879.8750,0.0116,7.5205
tfNotFroz,c,6,0.5135,0.4270,9.3460,6.0791,351.86,0.4703,7.7126,0.8500,0.8455,8.8136,7.6109,265.5000,0.1441,4.8327
tfNotFroz,c,7,0.5580,0.4644,5.1539,4.0409,44.79,0.5112,4.5974,0.9568,0.9198,6.9560,6.0984,29.6250,0.1590,1.6242
tfNotFroz,c,9,0.5215,0.3627,8.1798,6.6479,141.56,0.4421,7.4138,0.8952,0.7592,11.3798,9.9085,66.3750,0.1239,3.7098
tfNotFroz,s,8,0.6380,0.4155,7.5592,7.9664,411.09,0.5268,7.7628,0.3472,0.8127,7.1064,9.9485,354.2375,0.1205,4.7745
